DATE;CATEGORY;GEO;Medián;Átlag;P90gamma;P90lnorm;P90weibull;P90invgauss;CDF15gamma;CDF15lnorm;CDF15weibull;CDF15invgauss;P90;CDF15
2019-05-01;Kiemelt P1;Budapest;11,7;15,5251952910798;33,6751069278444;30,6871850398967;34,0175567800637;31,0133528447555;0,602939775858567;0,629707740022567;0,600129607857064;0,627602769964159;30,6773879332404;0,629424191577734
2019-05-01;Kiemelt P1;Országos;11,508333;15,0916029705323;32,4163129060752;29,5763025330884;32,7959841933065;29,8652486694999;0,61262312882609;0,640337083679554;0,609065800080889;0,6385940108266;29,5674704119406;0,640531574188763
2019-05-01;P1;Budapest;14,266666;18,1738009700803;38,0368346190163;34,8253149449516;38,6623008967194;35,0787952292609;0,522174642315066;0,528919549132696;0,521232949661093;0,528489921987692;34,7995485001243;0,528715193204501
2019-05-01;P1;Országos;12,466666;15,370674624254;31,1215426754032;28,5651995610833;31,8115698877188;28,7464276984339;0,590119421813129;0,612381404895708;0,584652795774664;0,611200237709747;28,5717217455696;0,612505469779284
2019-05-01;P2;Budapest;19,566666;25,6977463677494;55,2642174786068;50,4261089643622;55,9046715902767;50,9141946486232;0,396093553558866;0,359475506165662;0,400394381333348;0,358723889307084;50,403128606487;0,359437047147829
2019-05-01;P2;Országos;14,466666;18,8503074073401;40,2889145047854;36,7692949519623;40,7727681145487;37,1111392090672;0,515276246955882;0,520029809685732;0,514686563403862;0,519664791362015;36,754878831175;0,51984263221441
2019-05-01;P3;Budapest;26,4666665;36,9491583245193;83,2748285454056;75,4117466279078;83,5646367783678;76,514768705913;0,315848944314358;0,24363509889079;0,318272612212375;0,237115435482196;75,3976508567853;0,243491025877918
2019-05-01;P3;Országos;19,5666665;28,0071741856107;64,1792227552528;57,940480795808;64,2135257955763;58,9118075485629;0,411132509243857;0,376962843308675;0,411325440394846;0,375766092894461;57,927592405057;0,376829736932791
2019-06-01;Kiemelt P1;Budapest;12,508333;16,8757278203884;37,0978046324673;33,7104029664051;37,3742824404758;34,1340948513465;0,572462817401477;0,593021098042939;0,570844846114512;0,591586482032352;33,7244163082348;0,592786493405266
2019-06-01;Kiemelt P1;Országos;11,558333;15,029516348;32,0442970808929;29,2548903382324;32,4507131922997;29,5300978051171;0,61271388492266;0,640293264189378;0,608766055194464;0,638523838486338;29,2585667079251;0,640444568464838
2019-06-01;P1;Budapest;15,333333;19,7948686573131;41,939069330601;38,2981941740763;42,5299277856992;38,6621192829481;0,490620932050408;0,487485215052495;0,491081305072009;0,487770938272456;38,3190103113222;0,487733314850621
2019-06-01;P1;Országos;12,866666;16,1324909922971;33,2472479141003;30,4889868270621;33,8653658167452;30,6765349565772;0,571506574074991;0,590334371314806;0,567604997737801;0,589133768271429;30,4660062319712;0,590210090136537
2019-06-01;P2;Budapest;22,3416665;31,0534023744727;69,7823579564571;63,1864706883868;70,0420223334979;64,1284880926031;0,36424425157957;0,311687845432288;0,366249693053591;0,308864816823772;63,2069903027294;0,311729163811556
2019-06-01;P2;Országos;14,65;19,8492706773548;43,7712465611577;39,8137901165598;44,0731230809432;40,2738958008543;0,509148964887325;0,51226001795522;0,508880919534624;0,511797147933479;39,7763689902981;0,512083159733911
2019-06-01;P3;Budapest;33,9;48,9806302972973;112,902236624501;101,780814228915;112,871498596765;103,599336417815;0,264665025483245;0,170894641466266;0,264515097096602;0,157743810694558;101,786610548514;0,170954085154828
2019-06-01;P3;Országos;20,1;31,2600078367647;75,0596815874099;67,024962932716;74,5523515280265;68,6607705001426;0,413768271270975;0,377572819768049;0,411523357636371;0,375790931982088;67,0294806130277;0,377742886622508
2019-07-01;Kiemelt P1;Budapest;11,333333;14,384812260355;30,0095398205779;27,4767644037013;30,4984345168917;27,6717121334443;0,627885330866185;0,657590698778204;0,622265829996553;0,65548455050202;27,4595640472956;0,657597620136544
2019-07-01;Kiemelt P1;Országos;11,25;13,7014374211124;27,3662510231449;25,1604652409535;28,0451546151767;25,285184284362;0,64532721119709;0,676244408133885;0,636396572606102;0,674485508243162;25,155116784722;0,676581776837479
2019-07-01;P1;Budapest;14,55;18,4090905717221;38,2868997574822;35,0458193066361;38,9419853917269;35,3168736581117;0,513718479036983;0,517802998283026;0,512948980501657;0,517551906866116;35,0456823742824;0,517709358067221
2019-07-01;P1;Országos;12,516666;15,597531996197;31,9445160318982;29,3154249277957;32,5785080255096;29,4888036931588;0,585801844593804;0,607519372492961;0,580992004139632;0,60622713511749;29,2899946093427;0,607503977964432
2019-07-01;P2;Budapest;21,816666;29,3835619769744;64,5096128985062;58,6578919562991;65,0032829321096;59,3707701920558;0,364270313516258;0,313618180830189;0,368121691187484;0,311618496849671;58,6535919636899;0,313677798369128
2019-07-01;P2;Országos;14,366666;19,0936978708494;41,4763513657467;37,7777013827849;41,8765186502532;38,1936554597718;0,517450381084734;0,522879716024242;0,516938963134263;0,522624320780576;37,7702915312292;0,522805135161359
2019-07-01;P3;Budapest;30,216666;46,4710904553776;110,962641212033;99,2613917334432;110,281616009637;101,542277110556;0,308374101494493;0,225197461287424;0,303740595127493;0,213729373435578;99,2318574976373;0,22517955394013
2019-07-01;P3;Országos;18,1;27,6154051449111;65,6689946782944;58,7944558332554;65,3106249522644;60,1049019115094;0,442079135931107;0,419162269462889;0,440913836830479;0,418234702291932;58,7864081541157;0,419029896951678
